,url,name,phone,location
0,https://www.cps.edu/schools/schoolprofiles/air-force-hs,AIR FORCE HS,773-535-1590,"3630 S WELLS St Chicago, Illinois 60609"
1,https://www.cps.edu/schools/schoolprofiles/bogan-hs,BOGAN HS,773-535-2180,"3939 W 79TH St Chicago, Illinois 60652"
2,https://www.cps.edu/schools/schoolprofiles/englewood-stem-hs,ENGLEWOOD STEM HS,773-535-3685,"6835 S NORMAL  Chicago, Illinois 60621-2535"
3,https://www.cps.edu/schools/schoolprofiles/farragut-hs,FARRAGUT HS,773-534-1300,"2345 S CHRISTIANA Ave Chicago, Illinois 60623"
4,https://www.cps.edu/schools/schoolprofiles/gage-park-hs,GAGE PARK HS,773-535-9230,"5630 S ROCKWELL St Chicago, Illinois 60629"
5,https://www.cps.edu/schools/schoolprofiles/goode-hs,GOODE HS,773-535-7875,"7651 S HOMAN Ave Chicago, Illinois 60652"
6,https://www.cps.edu/schools/schoolprofiles/hubbard-hs,HUBBARD HS,773-535-2200,"6200 S HAMLIN Ave Chicago, Illinois 60629"
7,https://www.cps.edu/schools/schoolprofiles/julian-hs,JULIAN HS,773-535-5170,"10330 S ELIZABETH St Chicago, Illinois 60643"
8,https://www.cps.edu/schools/schoolprofiles/kelly-hs,KELLY HS,773-535-4900,"4136 S CALIFORNIA Ave Chicago, Illinois 60632"
9,https://www.cps.edu/schools/schoolprofiles/kennedy-hs,KENNEDY HS,773-535-2325,"6325 W 56TH St Chicago, Illinois 60638"
10,https://www.cps.edu/schools/schoolprofiles/lindblom-hs,LINDBLOM HS,773-535-9300,"6130 S WOLCOTT Ave Chicago, Illinois 60636"
11,https://www.cps.edu/schools/schoolprofiles/morgan-park-hs,MORGAN PARK HS,773-535-2550,"1744 W PRYOR Ave Chicago, Illinois 60643"
12,https://www.cps.edu/schools/schoolprofiles/richards-hs,RICHARDS HS,773-535-4945,"5009 S LAFLIN St Chicago, Illinois 60609"
13,https://www.cps.edu/schools/schoolprofiles/spry-hs,SPRY HS,773-534-1997,"2400 S MARSHALL Blvd Chicago, Illinois 60623"
14,https://www.cps.edu/schools/schoolprofiles/tilden-hs,TILDEN HS,773-535-1625,"4747 S UNION Ave Chicago, Illinois 60609"
